Site,Group,Richness
LC,Inverts,12
SC,Inverts,6
TB,Inverts,11
NT,Inverts,7
GW,Inverts,8
GE,Inverts,10
MS,Inverts,8
MN,Inverts,4
LC,Fish,10
SC,Fish,11
TB,Fish,5
NT,Fish,8
GW,Fish,6
GE,Fish,10
MS,Fish,7
MN,Fish,9
LC,Clams,8
SC,Clams,6
TB,Clams,1
NT,Clams,4
GW,Clams,5
GE,Clams,3
MS,Clams,0
MN,Clams,3
