date,site,site_id,site_no,sample_id,sample_no,sample_loc,sample_loc2,foil_wgt_kg,wet_wgt_kg,final_wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg,depth_cor
Jul-13-2014,L_Choked,LC,1,zostera,4,Deep_3,Deep,0.0067,0.1845,0.1778,0.022,0.015,0.79
Jul-13-2014,L_Choked,LC,1,smithora,6,Shallow_3,Shallow,0.0062,0.138,0.1318,0.014,0.008,
Jul-29-2014,L_Choked,LC,1,smithora,6,,,0.0012,0.0388,0.0376,0.007,0.006,
Jul-29-2014,L_Choked,LC,1,zostera,6,,,0.0043,0.0724,0.0681,0.011,0.007,0.69
Jul-29-2014,L_Choked,LC,1,smithora,8,,,0.0013,0.0695,0.0682,0.006,0.004,
Jul-29-2014,L_Choked,LC,1,desmarestia,11,,,0.0024,0.0232,0.0208,0.003,0.001,
Jul-29-2014,L_Choked,LC,1,zostera,11,,,0.0046,0.0713,0.0667,0.011,0.007,0.59
Jul-29-2014,L_Choked,LC,1,zostera,4A,,,0.0044,0.0928,0.0884,0.015,0.01,0.79
Jul-29-2014,L_Choked,LC,1,zostera,4B,,,0.0044,0.0619,0.0575,0.011,0.007,0.79
Jul-13-2014,L_Choked,LC,1,zostera,6A,Shallow_3,Shallow,0.0072,0.1377,0.1305,0.016,0.01,0.69
Jul-13-2014,L_Choked,LC,1,zostera,6B,Shallow_3,Shallow,0.0066,0.0871,0.0805,0.026,0.019,0.69
Jul-29-2014,L_Choked,LC,1,zostera,8A,,,0.0045,0.0676,0.0631,0.01,0.006,0.73
Jul-29-2014,L_Choked,LC,1,zostera,8B,,,0.0043,0.0514,0.0471,0.009,0.005,0.73
Aug-02-2014,McMullin_N,MN,8,agarum,3,Deep_3,Deep,0.0032,0.0185,0.0153,0.006,0.002,
Aug-02-2014,McMullin_N,MN,8,epiphyte,3,Deep_3,Deep,0.0023,0.0195,0.0172,,,
Aug-02-2014,McMullin_N,MN,8,drift,4,Shallow_2,Shallow,0.0007,0.0021,0.0014,0.001,0,
Aug-02-2014,McMullin_N,MN,8,epiphyte,4,Shallow_2,Shallow,0.0022,0.0207,0.0185,,,
Aug-02-2014,McMullin_N,MN,8,ulva,7,Shallow_3,Shallow,0.0019,0.009,0.0071,0.003,0.001,
Aug-02-2014,McMullin_N,MN,8,drift,8,Shallow_3,Shallow,,,,0.003,0.001,
Aug-02-2014,McMullin_N,MN,8,agarum,9,Shallow_1,Shallow,0.002,0.005,0.003,0.002,0,
Aug-02-2014,McMullin_N,MN,8,drift,10,Mid_3,Mid,0.0021,0.0083,0.0062,0.002,0,
Aug-02-2014,McMullin_N,MN,8,agarum,11,Deep_2,Deep,0.0022,0.0066,0.0044,0.003,0.001,
Aug-02-2014,McMullin_N,MN,8,zostera,10A,Mid_3,Mid,0.0048,0.0599,0.0551,0.012,0.008,-0.93
Aug-02-2014,McMullin_N,MN,8,zostera,10B,Mid_3,Mid,0.0047,0.0617,0.057,0.012,0.007,-0.93
Aug-02-2014,McMullin_N,MN,8,zostera,11A,Deep_2,Deep,0.0047,0.0253,0.0206,0.008,0.003,-1.63
Aug-02-2014,McMullin_N,MN,8,zostera,11A,Deep_2,Deep,0.0051,0.0622,0.0571,0.011,0.006,-1.63
Aug-02-2014,McMullin_N,MN,8,zostera,12A,Deep_1,Deep,0.0044,0.0618,0.0574,0.011,0.007,-1.73
Aug-02-2014,McMullin_N,MN,8,zostera,12B,Deep_1,Deep,0.0046,0.0444,0.0398,0.01,0.005,-1.73
Aug-02-2014,McMullin_N,MN,8,zostera,12C,Deep_1,Deep,0.0043,0.0559,0.0516,0.011,0.006,-1.73
Aug-02-2014,McMullin_N,MN,8,zostera,3A,Deep_3,Deep,0.0049,0.0705,0.0656,0.014,0.009,-1.03
Aug-02-2014,McMullin_N,MN,8,zostera,3B,Deep_3,Deep,0.0048,0.0604,0.0556,0.014,0.009,-1.03
Aug-02-2014,McMullin_N,MN,8,zostera,4A,Shallow_2,Shallow,0.004,0.0544,0.0504,0.011,0.007,-0.33
Aug-02-2014,McMullin_N,MN,8,zostera,4B,Shallow_2,Shallow,0.0044,0.0669,0.0625,,0.008,-0.33
Aug-02-2014,McMullin_N,MN,8,zostera,4C,Shallow_2,Shallow,0.0045,0.064,0.0595,,0.008,-0.33
